#EMPREENDIMENTO,CODIGO_TIPO_AGROPECUARIA,TIPO_AGROPECUARIA,CODIGO_TIPO_INTEGRACAO_CONSORCIO,TIPO_INTEGRACAO_CONSORCIO,CODIGO_GRAO_SEMENTE,GRAO_SEMENTE,CODIGO_TIPO_IRRIGACAO,TIPO_IRRIGACAO,CODIGO_TIPO_CULTIVO_EXPLORACAO,TIPO_CULTIVO_EXPLORACAO,CODIGO_FASE_CICLO_PRODUCAO,FASE_CICLO_PRODUCAO,CODIGO_ANTIGO
"12016040464052","*","*","*","*","*","*","*","*","*","*","*","*","11345558"
"12015880990042","*","*","*","*","4","Erro","*","*","*","*","*","*","11285113"
"12017280990042","*","*","*","*","4","Erro","*","*","*","*","*","*","11340883"
"12014800990052","*","*","*","*","4","Erro","*","*","*","*","*","*","11251556"
"12017280371051","*","*","*","*","*","*","*","*","*","*","*","*","11340883"
"12017280181051","*","*","*","*","*","*","*","*","*","*","*","*","11340883"
"12012200000042","*","*","*","*","*","*","*","*","*","*","*","*","11115001"
"12013600970052","*","*","*","*","*","*","*","*","*","*","*","*","11160506"
"12016040464052","*","*","*","*","4","Erro","*","*","*","*","*","*","11345558"
"12017280475011","*","*","*","*","*","*","*","*","*","*","*","*","11340833"
"12017280474011","*","*","*","*","*","*","*","*","*","*","*","*","11340833"
"12013600980052","*","*","*","*","*","*","*","*","*","*","*","*","11160661"
"11253840000008","*","*","*","*","*","*","*","*","*","*","*","*","32170001"
"12016940213052","*","*","*","*","*","*","*","*","*","*","*","*","30060006"
"12011580213042","*","*","*","*","4","Erro","01","Não Irrigado","*","*","*","*","11085337"
"12955080000011","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"12955080000012","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"22601790000408","*","*","*","*","*","*","*","*","16","Criação em Tanques Escavados","51","Cria ou Multiplicação","63623534"
"12016045000052","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"12013600995052","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"12013600995042","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"12016666000052","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"12016666000042","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"22311020000408","*","*","*","*","*","*","*","*","*","*","*","*","51705608"
"22311020419408","*","*","*","*","*","*","*","*","*","*","*","*","51705608"
"22311300415408","*","*","*","*","*","*","*","*","*","*","55","Engorda","51712000"
"22311300416408","*","*","*","*","*","*","*","*","*","*","56","Recria","51712000"
"22311300419408","*","*","*","*","*","*","*","*","*","*","57","Recria e Engorda","51712000"
"22311300450408","*","*","*","*","*","*","*","*","10","Pecuária Extensiva - ENCERRADO","55","Engorda","51712000"
"22311400419408","*","*","*","*","*","*","*","*","*","*","57","Recria e Engorda","51721118"
"22311920419408","*","*","*","*","*","*","*","*","*","*","57","Recria e Engorda","51725004"
"22315580419408","*","*","*","*","*","*","*","*","*","*","57","Recria e Engorda","51705608"
"22316760419408","*","*","*","*","*","*","*","*","*","*","57","Recria e Engorda","51705608"
"22311300000408","*","*","*","*","*","*","*","*","*","*","60","Engorda em confinamento","51705608"
"22311300000408","*","*","*","*","*","*","*","*","*","*","56","Recria","51705608"
"22311300000408","*","*","*","*","*","*","*","*","*","*","57","Recria e Engorda","51705608"
"22311400000408","*","*","*","*","*","*","*","*","*","*","57","Recria e Engorda","51705608"
"22311400000408","*","*","*","*","*","*","*","*","*","*","60","Engorda em confinamento","51705608"
"14032085000408","*","*","*","*","*","*","*","*","*","*","*","*","11090119"
"11176640063408","*","*","*","*","*","*","*","*","*","*","*","*","34230884"
"22311920000408","*","*","*","*","*","*","*","*","*","*","*","*","51725004"
"22315580000408","*","*","*","*","*","*","*","*","*","*","*","*","51705608"
"22316760000408","*","*","*","*","*","*","*","*","*","*","*","*","51705608"
"12016041000042","*","*","*","*","*","*","*","*","*","*","*","*","11286002"
"22311400000408","*","*","*","*","*","*","*","*","*","*","56","Recria","51705608"
"11300160317002","0","Não se aplica","0","Não se aplica","0","Não se aplica","00","Não se aplica","00","Não se aplica","00","Não se aplica","30016040"
"11301420318042","*","*","*","*","*","*","*","*","*","*","*","*","30080708"
"11302020245002","0","Não se aplica","0","Não se aplica","0","Não se aplica","00","Não se aplica","00","Não se aplica","00","Não se aplica","30100853"
"22311300000408","*","*","*","*","*","*","*","*","*","*","51","Cria ou Multiplicação","51705608"
"22311300000408","*","*","*","*","*","*","*","*","*","*","55","Engorda","51705608"
"22311400000408","*","*","*","*","*","*","*","*","*","*","51","Cria ou Multiplicação","51705608"
"22311400000408","*","*","*","*","*","*","*","*","*","*","55","Engorda","51705608"
"12113630000003","*","*","*","*","*","*","*","*","*","*","*","*","21165003"
"13122420000408","*","*","*","*","*","*","*","*","*","*","*","*","21253001"
"12010160990052","*","*","*","*","4","Erro","*","*","*","*","*","*","11016502"
"12016666000043","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"12013600995043","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"12016040464042","*","*","*","*","*","*","*","*","*","*","*","*","11345558"
"12016040464043","*","*","*","*","*","*","*","*","*","*","*","*","11345558"
"12016045000042","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"12016045000043","*","*","*","*","*","*","*","*","*","*","*","*","11130000"
"11250160000002","*","*","*","*","*","*","*","*","*","*","*","*","39190156"
"23281850000408","*","*","*","*","*","*","*","*","*","*","*","*","74777008"
"11306720000011","0","Não se aplica","0","Não se aplica","0","Não se aplica","00","Não se aplica","00","Não se aplica","00","Não se aplica","30310014"
"11176940181408","*","*","*","*","*","*","*","*","*","*","*","*","30320004"
"12111390451002","*","*","*","*","*","*","*","*","*","*","*","*","21165003"
"14034760161408","*","*","*","*","*","*","*","*","*","*","*","*","13250191"
"22605830000408","*","*","*","*","*","*","*","*","*","*","*","*","63623534"
"22605830000408","*","*","*","*","*","*","*","*","16","Criação em Tanques Escavados","51","Cria ou Multiplicação","63623534"
"22605830990408","*","*","*","*","*","*","*","*","18","Criação em Tanques Redes/Fluxo Contínuo","88","Regime de Integração","63623534"
"12015960990052","*","*","*","*","4","Erro","*","*","*","*","*","*","11296559"
"12016940990052","*","*","*","*","4","Erro","*","*","*","*","*","*","11296559"
"12110120451802","*","*","*","*","*","*","*","*","*","*","*","*","21015005"
"12113500451002","*","*","*","*","*","*","*","*","*","*","*","*","21165003"
"21177486000408","*","*","*","*","*","*","*","*","*","*","*","*","51770231"
"11174660149408","*","*","*","*","*","*","*","*","*","*","*","*","34230004"
"11174660339408","*","*","*","*","*","*","*","*","*","*","*","*","34230884"
"11175920177408","*","*","*","*","*","*","*","*","*","*","*","*","21294008"
"12955080000051","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"22607585332002","*","*","*","*","*","*","*","*","*","*","*","*","51799009"
"12015080000011","*","*","*","*","0","Não se aplica","*","*","*","*","*","*","11270128"
"12015080000011","*","*","*","*","3","Semente","01","Não Irrigado","*","*","*","*","11270128"
"12015080000011","*","*","*","*","8","Grão","*","*","*","*","*","*","11270128"
"22903320966408","*","*","*","*","*","*","*","*","*","*","*","*","63623534"
"12113500000408","*","*","*","*","4","Erro","*","*","*","*","*","*","21165412"
"12115985000408","*","*","*","*","4","Erro","*","*","*","*","*","*","21165412"
"12955080000052","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"12955080000821","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"22386760951408","*","*","*","*","*","*","*","*","*","*","24","Cria/Recria/Engorda (Ciclo Completo)","63623534"
"22386760951408","*","*","*","*","*","*","*","*","*","*","90","Retenção de Matrizes","63623534"
"22386760951408","*","*","*","*","*","*","*","*","*","*","61","Cria e Engorda","63623534"
"22393830074408","*","*","*","*","*","*","*","*","*","*","55","Engorda","63623534"
"12013740000022","*","*","*","*","*","*","01","Não Irrigado","*","*","*","*","11180005"
"12015300000041","*","*","*","*","*","*","*","*","*","*","*","*","11280008"
"12015080000851","*","*","*","*","*","*","*","*","*","*","*","*","11270575"
"11171880370408","*","*","*","*","*","*","*","*","*","*","*","*","34112005"
"12015080162011","*","*","*","*","*","*","*","*","*","*","*","*","30270019"
"12950560176011","*","*","*","*","*","*","01","Não Irrigado","*","*","*","*","11001005"
"12950560176051","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"12950560176052","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"12955080000021","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"12955080000022","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"21175600000408","*","*","*","*","*","*","*","*","*","*","*","*","72705728"
"11176010000408","*","*","*","*","*","*","*","*","*","*","*","*","30016040"
"14036010000408","*","*","*","*","*","*","*","*","*","*","*","*","38018404"
"23707695108408","*","*","*","*","*","*","*","*","*","*","*","*","30060006"
"14033650000408","*","*","*","*","*","*","*","*","*","*","*","*","11170503"
"13124755000002","*","*","*","*","*","*","*","*","*","*","*","*","11293662"
"21304280119002","0","Não se aplica","0","Não se aplica","0","Não se aplica","00","Não se aplica","00","Não se aplica","00","Não se aplica","70765409"
"11233580000002","*","*","*","*","*","*","*","*","*","*","*","*","34170009"
"12010660000052","*","*","*","*","*","*","*","*","*","*","*","*","11042521"
"12011160502051","*","*","*","*","*","*","*","*","*","*","*","*","11060118"
"12011160501051","*","*","*","*","*","*","*","*","*","*","*","*","11060118"
"12011160500051","*","*","*","*","*","*","*","*","*","*","*","*","11060118"
"13121160502041","*","*","*","*","*","*","*","*","*","*","*","*","11060118"
"13121160501041","*","*","*","*","*","*","*","*","*","*","*","*","11060118"
"13121160500041","*","*","*","*","*","*","*","*","*","*","*","*","11060118"
"13121160502051","*","*","*","*","*","*","*","*","*","*","*","*","11060118"
